Batsman,Innings,TotalRuns,StrikeRate,AverageRuns,Fours,Sixes,NotOut,BallsFaced,Role
ST Jayasuriya,30,768,134.03141361256544,26.482758620689655,84,39,544,573,opener
SR Tendulkar,78,2334,114.18786692759295,32.87323943661972,296,29,1973,2044,middle
AM Nayar,50,672,114.28571428571428,17.23076923076923,55,20,549,588,middle
RV Uthappa,197,4954,126.15227909345556,26.92391304347826,481,182,3743,3927,middle
DR Smith,88,2385,132.27953410981698,29.444444444444443,245,117,1722,1803,middle
SM Pollock,8,147,126.72413793103448,18.375,12,8,108,116,middle
MK Pandey,161,3951,117.7645305514158,29.266666666666666,340,116,3220,3355,middle
YV Takawale,10,192,104.91803278688525,24.0,26,3,175,183,opener
RR Raje,5,20,111.11111111111111,20.0,1,1,17,18,lower
Kamran Akmal,6,128,164.1025641025641,32.0,13,8,74,78,middle
SA Asnodkar,19,423,120.17045454545455,22.263157894736842,56,10,333,352,opener
YK Pathan,153,3222,138.04627249357327,29.027027027027028,263,161,2223,2334,middle
SR Watson,141,3880,134.1632088520055,30.793650793650794,377,190,2766,2892,middle
M Kaif,22,259,100.3875968992248,16.1875,22,6,242,258,middle
NK Patel,6,121,97.58064516129032,24.2,14,1,119,124,lower
RA Jadeja,194,3260,125.04794783275797,26.504065040650406,240,117,2484,2607,middle
G Gambhir,151,4217,119.66515323496027,31.237037037037037,492,59,3389,3524,middle
V Sehwag,104,2728,148.82705946535734,27.836734693877553,334,106,1735,1833,opener
S Dhawan,221,6769,123.45431333211745,34.891752577319586,768,153,5289,5483,middle
Shoaib Malik,5,52,106.12244897959184,13.0,5,0,45,49,lower
MK Tiwary,83,1695,113.83478844862324,27.78688524590164,156,40,1428,1489,middle
KD Karthik,233,4843,131.35340385136968,25.624338624338623,466,161,3498,3687,middle
R Bhatia,47,342,117.9310344827586,11.793103448275861,24,13,261,290,middle
MF Maharoof,14,177,142.74193548387098,17.7,12,9,114,124,middle
VY Mahesh,5,15,53.57142857142857,7.5,0,0,26,28,lower
K Goel,16,218,91.21338912133892,15.571428571428571,17,9,225,239,lower
SM Katich,11,241,126.17801047120419,24.1,26,8,181,191,middle
KC Sangakkara,68,1687,118.4691011235955,24.44927536231884,195,27,1355,1424,middle
DPMD Jayawardene,78,1808,118.7910643889619,28.25,200,40,1458,1522,middle
Yuvraj Singh,126,2754,124.78477571363842,25.26605504587156,218,149,2098,2207,middle
