Bowler,Innings,TotalWickets,TotalRunsConceded,EconomyRate,AverageRunsConceded,StrikeRate,BallsBowled
Sohail Tanvir,11,24,275,6.226415094339623,11.458333333333334,11.041666666666666,265
SR Watson,105,107,2742,7.698642957416939,25.626168224299064,19.97196261682243,2137
Pankaj Singh,17,11,472,9.106109324758842,42.90909090909091,28.272727272727273,311
YK Pathan,82,46,1443,7.3125,31.369565217391305,25.73913043478261,1184
SK Trivedi,75,73,1944,7.491329479768787,26.63013698630137,21.328767123287673,1557
SK Warne,54,60,1465,7.187244480784955,24.416666666666668,20.383333333333333,1223
SM Pollock,13,13,307,6.578571428571429,23.615384615384617,21.53846153846154,280
A Nehra,88,121,2537,7.711246200607903,20.96694214876033,16.31404958677686,1974
CRD Fernando,10,19,306,7.373493975903614,16.105263157894736,13.105263157894736,249
DR Smith,46,27,825,8.88689407540395,30.555555555555557,20.62962962962963,557
AM Nayar,19,9,323,8.108786610878662,35.888888888888886,26.555555555555557,239
RR Raje,10,7,214,8.916666666666668,30.571428571428573,20.571428571428573,144
ST Jayasuriya,21,16,396,7.893687707641195,24.75,18.8125,301
B Lee,38,30,1126,7.3755458515283845,37.53333333333333,30.533333333333335,916
IK Pathan,101,99,2711,7.698059630856601,27.383838383838384,21.343434343434343,2113
S Sreesanth,44,43,1221,7.736008447729672,28.3953488372093,22.023255813953487,947
VRV Singh,18,16,549,8.878706199460916,34.3125,23.1875,371
PP Chawla,191,201,5179,7.977920410783056,25.766169154228855,19.378109452736318,3895
Yuvraj Singh,73,39,1091,7.421768707482993,27.974358974358974,22.615384615384617,882
GD McGrath,14,14,366,6.674772036474164,26.142857142857142,23.5,329
Mohammad Asif,8,9,307,9.256281407035175,34.111111111111114,22.11111111111111,199
MF Maharoof,20,33,532,7.238095238095237,16.12121212121212,13.363636363636363,441
VY Mahesh,17,22,511,8.540389972144848,23.227272727272727,16.318181818181817,359
Shoaib Malik,5,2,87,9.0,43.5,29.0,58
R Bhatia,91,82,2059,7.437688139674895,25.109756097560975,20.25609756097561,1661
TA Boult,119,151,3806,8.19964093357271,25.205298013245034,18.443708609271525,2785
JJ Bumrah,145,203,4162,7.1882556131260795,20.502463054187192,17.113300492610836,3474
AF Milne,10,9,339,9.373271889400922,37.666666666666664,24.11111111111111,217
KH Pandya,132,97,3024,7.357664233576642,31.175257731958762,25.422680412371133,2466
RD Chahar,78,76,2174,7.659424544920728,28.605263157894736,22.407894736842106,1703
KA Jamieson,13,14,418,9.186813186813186,29.857142857142858,19.5,273
Mohammed Siraj,108,112,3434,8.416666666666666,30.660714285714285,21.857142857142858,2448
DT Christian,49,40,1218,7.926247288503254,30.45,23.05,922
HV Patel,116,168,3649,8.519066147859922,21.720238095238095,15.297619047619047,2570
YS Chahal,172,229,5112,7.8545454545454545,22.323144104803493,17.05240174672489,3905
GJ Maxwell,85,45,1422,8.148997134670488,31.6,23.266666666666666,1047
Z Khan,99,119,2860,7.539543057996484,24.03361344537815,19.126050420168067,2276
JA Morkel,87,96,2409,7.998893193137797,25.09375,18.822916666666668,1807
JP Duminy,49,23,847,7.249643366619115,36.82608695652174,30.47826086956522,701
A Mishra,162,183,4193,7.304878048780488,22.91256830601093,18.81967213114754,3444
Imran Tahir,59,86,1729,7.741791044776119,20.1046511627907,15.581395348837209,1340
AD Mathews,44,28,1095,8.141263940520446,39.107142857142854,28.821428571428573,807
UT Yadav,147,163,4442,8.354858934169279,27.25153374233129,19.570552147239265,3190
AD Russell,121,133,2909,9.259416445623343,21.872180451127818,14.172932330827068,1885
SP Narine,187,212,5029,6.825152680389053,23.721698113207548,20.85377358490566,4421
GB Hogg,21,25,585,7.532188841201716,23.4,18.64,466
J Botha,34,27,818,6.922425952045134,30.296296296296298,26.25925925925926,709
NM Coulter-Nile,38,52,1125,7.5672645739910305,21.634615384615383,17.153846153846153,892
KA Pollard,107,81,2200,8.32282471626734,27.160493827160494,19.580246913580247,1586
DL Chahar,95,91,2621,7.827775012444002,28.802197802197803,22.076923076923077,2009
JR Hazlewood,39,58,1219,8.199551569506726,21.017241379310345,15.379310344827585,892
SN Thakur,102,115,3284,8.936054421768707,28.556521739130435,19.17391304347826,2205
RA Jadeja,225,179,5242,7.621032226799128,29.28491620111732,23.05586592178771,4127
