id,team1,team2
1473438,Kolkata Knight Riders,Sunrisers Hyderabad
1473439,Punjab Kings,Delhi Capitals
1473440,Rajasthan Royals,Lucknow Super Giants
1473441,Gujarat Titans,Mumbai Indians
1473442,Royal Challengers Bengaluru,Chennai Super Kings
1473443,Sunrisers Hyderabad,Mumbai Indians
1473444,Rajasthan Royals,Delhi Capitals
1473445,Royal Challengers Bengaluru,Kolkata Knight Riders
1473446,Lucknow Super Giants,Punjab Kings
1473447,Gujarat Titans,Sunrisers Hyderabad
1473448,Chennai Super Kings,Delhi Capitals
1473449,Mumbai Indians,Rajasthan Royals
1473450,Royal Challengers Bengaluru,Lucknow Super Giants
1473451,Delhi Capitals,Kolkata Knight Riders
1473452,Gujarat Titans,Punjab Kings
1473453,Chennai Super Kings,Sunrisers Hyderabad
1473454,Mumbai Indians,Delhi Capitals
1473455,Rajasthan Royals,Royal Challengers Bengaluru
1473456,Lucknow Super Giants,Gujarat Titans
1473457,Sunrisers Hyderabad,Punjab Kings
1473458,Kolkata Knight Riders,Delhi Capitals
1473459,Chennai Super Kings,Mumbai Indians
1473460,Lucknow Super Giants,Chennai Super Kings
1473461,Punjab Kings,Rajasthan Royals
1473462,Kolkata Knight Riders,Lucknow Super Giants
1473463,Mumbai Indians,Royal Challengers Bengaluru
1473464,Delhi Capitals,Gujarat Titans
1473465,Sunrisers Hyderabad,Chennai Super Kings
1473466,Punjab Kings,Mumbai Indians
1473467,Rajasthan Royals,Gujarat Titans
1473468,Lucknow Super Giants,Delhi Capitals
1473469,Kolkata Knight Riders,Rajasthan Royals
1473470,Royal Challengers Bengaluru,Sunrisers Hyderabad
1473471,Punjab Kings,Gujarat Titans
1473472,Mumbai Indians,Chennai Super Kings
1473473,Lucknow Super Giants,Kolkata Knight Riders
1473474,Delhi Capitals,Sunrisers Hyderabad
1473475,Punjab Kings,Royal Challengers Bengaluru
1473476,Gujarat Titans,Delhi Capitals
1473477,Chennai Super Kings,Lucknow Super Giants
1473478,Kolkata Knight Riders,Royal Challengers Bengaluru
1473479,Punjab Kings,Kolkata Knight Riders
1473480,Rajasthan Royals,Mumbai Indians
1473481,Sunrisers Hyderabad,Royal Challengers Bengaluru
1473482,Delhi Capitals,Mumbai Indians
1473483,Lucknow Super Giants,Rajasthan Royals
1473484,Chennai Super Kings,Punjab Kings
1473485,Delhi Capitals,Rajasthan Royals
1473486,Royal Challengers Bengaluru,Gujarat Titans
1473487,Sunrisers Hyderabad,Lucknow Super Giants
1473488,Chennai Super Kings,Kolkata Knight Riders
1473489,Punjab Kings,Chennai Super Kings
1473490,Gujarat Titans,Royal Challengers Bengaluru
1473491,Mumbai Indians,Kolkata Knight Riders
1473492,Lucknow Super Giants,Mumbai Indians
1473493,Royal Challengers Bengaluru,Delhi Capitals
1473494,Chennai Super Kings,Rajasthan Royals
1473495,Sunrisers Hyderabad,Gujarat Titans
1473497,Kolkata Knight Riders,Mumbai Indians
1473498,Royal Challengers Bengaluru,Chennai Super Kings
1473499,Delhi Capitals,Lucknow Super Giants
1473500,Rajasthan Royals,Punjab Kings
1473501,Sunrisers Hyderabad,Punjab Kings
1473502,Gujarat Titans,Chennai Super Kings
1473503,Kolkata Knight Riders,Delhi Capitals
1473504,Rajasthan Royals,Sunrisers Hyderabad
1473505,Royal Challengers Bengaluru,Gujarat Titans
1473506,Mumbai Indians,Lucknow Super Giants
1473507,Chennai Super Kings,Gujarat Titans
1473508,Punjab Kings,Royal Challengers Bengaluru
1473509,Delhi Capitals,Lucknow Super Giants
1473510,Sunrisers Hyderabad,Rajasthan Royals
1473511,Royal Challengers Bengaluru,Punjab Kings
1485779,Kolkata Knight Riders,Sunrisers Hyderabad
