id,venue
1473438,"Rajiv Gandhi International Stadium, Uppal"
1473439,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1473440,"Sawai Mansingh Stadium, Jaipur"
1473441,"Narendra Modi Stadium, Ahmedabad"
1473442,"MA Chidambaram Stadium, Chepauk, Chennai"
1473443,"Rajiv Gandhi International Stadium, Uppal"
1473444,"Sawai Mansingh Stadium, Jaipur"
1473445,"M Chinnaswamy Stadium, Bengaluru"
1473446,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1473447,"Narendra Modi Stadium, Ahmedabad"
1473448,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
1473449,"Wankhede Stadium, Mumbai"
1473450,"M Chinnaswamy Stadium, Bengaluru"
1473451,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
1473452,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1473453,"MA Chidambaram Stadium, Chepauk, Chennai"
1473454,"Wankhede Stadium, Mumbai"
1473455,"Sawai Mansingh Stadium, Jaipur"
1473456,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1473457,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1473458,"Eden Gardens, Kolkata"
1473459,"Wankhede Stadium, Mumbai"
1473460,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1473461,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1473462,"Eden Gardens, Kolkata"
1473463,"Wankhede Stadium, Mumbai"
1473464,"Arun Jaitley Stadium, Delhi"
1473465,"MA Chidambaram Stadium, Chepauk, Chennai"
1473466,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1473467,"Sawai Mansingh Stadium, Jaipur"
1473468,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1473469,"Eden Gardens, Kolkata"
1473470,"M Chinnaswamy Stadium, Bengaluru"
1473471,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
1473472,"MA Chidambaram Stadium, Chepauk, Chennai"
1473473,"Eden Gardens, Kolkata"
1473474,"Arun Jaitley Stadium, Delhi"
1473475,"Eden Gardens, Kolkata"
1473476,"Arun Jaitley Stadium, Delhi"
1473477,"MA Chidambaram Stadium, Chepauk, Chennai"
1473478,"Eden Gardens, Kolkata"
1473479,"Eden Gardens, Kolkata"
1473480,"Sawai Mansingh Stadium, Jaipur"
1473481,"Rajiv Gandhi International Stadium, Uppal"
1473482,"Arun Jaitley Stadium, Delhi"
1473483,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
1473484,"MA Chidambaram Stadium, Chepauk, Chennai"
1473485,"Arun Jaitley Stadium, Delhi"
1473486,"M Chinnaswamy Stadium, Bengaluru"
1473487,"Rajiv Gandhi International Stadium, Uppal"
1473488,"MA Chidambaram Stadium, Chepauk, Chennai"
1473489,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
1473490,"Narendra Modi Stadium, Ahmedabad"
1473491,"Wankhede Stadium, Mumbai"
1473492,"Wankhede Stadium, Mumbai"
1473493,"M Chinnaswamy Stadium, Bengaluru"
1473494,"MA Chidambaram Stadium, Chepauk, Chennai"
1473495,"Rajiv Gandhi International Stadium, Uppal"
1473497,"Eden Gardens, Kolkata"
1473498,"M Chinnaswamy Stadium, Bengaluru"
1473499,"Arun Jaitley Stadium, Delhi"
1473500,"Barsapara Cricket Stadium, Guwahati"
1473501,"Rajiv Gandhi International Stadium, Uppal"
1473502,"Narendra Modi Stadium, Ahmedabad"
1473503,"Eden Gardens, Kolkata"
1473504,"Barsapara Cricket Stadium, Guwahati"
1473505,"Narendra Modi Stadium, Ahmedabad"
1473506,"Wankhede Stadium, Mumbai"
1473507,"Narendra Modi Stadium, Ahmedabad"
1473508,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
1473509,"Arun Jaitley Stadium, Delhi"
1473510,"Rajiv Gandhi International Stadium, Uppal"
1473511,"M Chinnaswamy Stadium, Bengaluru"
1485779,"MA Chidambaram Stadium, Chepauk, Chennai"
